Count,Label,CBG,GEOID2,GEOID
72,Average Days To Close a Code Violation,1.001,4.21E+11,4.2071E+11
96,Average Days To Close a Code Violation,1.002,4.21E+11,4.2071E+11
78,Average Days To Close a Code Violation,1.003,4.21E+11,4.2071E+11
50,Average Days To Close a Code Violation,2.001,4.21E+11,4.2071E+11
57,Average Days To Close a Code Violation,2.002,4.21E+11,4.2071E+11
52,Average Days To Close a Code Violation,3.001,4.21E+11,4.2071E+11
53,Average Days To Close a Code Violation,3.002,4.21E+11,4.2071E+11
67,Average Days To Close a Code Violation,3.003,4.21E+11,4.2071E+11
55,Average Days To Close a Code Violation,3.004,4.21E+11,4.2071E+11
65,Average Days To Close a Code Violation,4.001,4.21E+11,4.2071E+11
63,Average Days To Close a Code Violation,4.002,4.21E+11,4.2071E+11
64,Average Days To Close a Code Violation,4.003,4.21E+11,4.2071E+11
100,Average Days To Close a Code Violation,4.004,4.21E+11,4.2071E+11
88,Average Days To Close a Code Violation,5.001,4.21E+11,4.2071E+11
62,Average Days To Close a Code Violation,5.002,4.21E+11,4.2071E+11
68,Average Days To Close a Code Violation,5.003,4.21E+11,4.2071E+11
90,Average Days To Close a Code Violation,5.004,4.21E+11,4.2071E+11
96,Average Days To Close a Code Violation,6.001,4.21E+11,4.2071E+11
95,Average Days To Close a Code Violation,6.002,4.21E+11,4.2071E+11
84,Average Days To Close a Code Violation,6.003,4.21E+11,4.2071E+11
95,Average Days To Close a Code Violation,6.004,4.21E+11,4.2071E+11
52,Average Days To Close a Code Violation,7.001,4.21E+11,4.2071E+11
65,Average Days To Close a Code Violation,7.002,4.21E+11,4.2071E+11
64,Average Days To Close a Code Violation,7.003,4.21E+11,4.2071E+11
59,Average Days To Close a Code Violation,8.001,4.21E+11,4.2071E+11
49,Average Days To Close a Code Violation,8.002,4.21E+11,4.2071E+11
40,Average Days To Close a Code Violation,8.003,4.21E+11,4.2071E+11
89,Average Days To Close a Code Violation,8.004,4.21E+11,4.2071E+11
61,Average Days To Close a Code Violation,9.001,4.21E+11,4.2071E+11
67,Average Days To Close a Code Violation,9.002,4.21E+11,4.2071E+11
73,Average Days To Close a Code Violation,9.003,4.21E+11,4.2071E+11
68,Average Days To Close a Code Violation,9.004,4.21E+11,4.2071E+11
74,Average Days To Close a Code Violation,10.001,4.21E+11,4.2071E+11
68,Average Days To Close a Code Violation,10.002,4.21E+11,4.2071E+11
72,Average Days To Close a Code Violation,10.003,4.21E+11,4.2071E+11
73,Average Days To Close a Code Violation,10.004,4.21E+11,4.2071E+11
67,Average Days To Close a Code Violation,11.001,4.21E+11,4.2071E+11
66,Average Days To Close a Code Violation,11.002,4.21E+11,4.2071E+11
64,Average Days To Close a Code Violation,11.003,4.21E+11,4.2071E+11
56,Average Days To Close a Code Violation,12.001,4.21E+11,4.2071E+11
41,Average Days To Close a Code Violation,12.002,4.21E+11,4.2071E+11
53,Average Days To Close a Code Violation,12.003,4.21E+11,4.2071E+11
54,Average Days To Close a Code Violation,12.004,4.21E+11,4.2071E+11
69,Average Days To Close a Code Violation,14.001,4.21E+11,4.2071E+11
76,Average Days To Close a Code Violation,14.002,4.21E+11,4.2071E+11
78,Average Days To Close a Code Violation,14.003,4.21E+11,4.2071E+11
56,Average Days To Close a Code Violation,14.004,4.21E+11,4.2071E+11
43,Average Days To Close a Code Violation,118.052,4.21E+11,4.2071E+11
59,Average Days To Close a Code Violation,147.001,4.21E+11,4.2071E+11
58,Average Days To Close a Code Violation,147.002,4.21E+11,4.2071E+11
58,Average Days To Close a Code Violation,147.003,4.21E+11,4.2071E+11
NA,Average Sale Price 2007,1.001,4.21E+11,4.2071E+11
NA,Average Sale Price 2007,1.002,4.21E+11,4.2071E+11
43000,Average Sale Price 2007,1.003,4.21E+11,4.2071E+11
93287,Average Sale Price 2007,2.001,4.21E+11,4.2071E+11
82225,Average Sale Price 2007,2.002,4.21E+11,4.2071E+11
100218,Average Sale Price 2007,3.001,4.21E+11,4.2071E+11
85265,Average Sale Price 2007,3.002,4.21E+11,4.2071E+11
97996,Average Sale Price 2007,3.003,4.21E+11,4.2071E+11
92311,Average Sale Price 2007,3.004,4.21E+11,4.2071E+11
122260,Average Sale Price 2007,4.001,4.21E+11,4.2071E+11
81883,Average Sale Price 2007,4.002,4.21E+11,4.2071E+11
